0,0,0,0,0,0,-0.295811324177364,-0.0647029100382118,-0.0183730868234746,-0.173985659264245,0,0,0.34,0.254
0,0,0,0,0,0,-0.205887103707414,-0.116903205409791,0,0,0,-0.0854459268827178,0.13,0.012
0,0,0,0,0,0,-0.485864260582436,-0.188912847949155,-0.0784317936716852,-0.188953356559527,0,-0.0955988715168587,0.16,0.058
0,0,0,0,0,0,0,-0.306573186539239,-0.111874929304338,-0.102780349291937,0,0,0.3,0.23
0,0,0,0,0,0,0,-0.0944489006597107,-0.218215061461533,-0.111863518597685,0,0,0.15,0.156
0,0,0,0,0,0,0,-0.158581088927454,-0.135578513499348,-0.371605039263204,0,0,0.64,0.148
0.298,0.289,0.328,0,0,0,0,-0.37701224710154,0,-0.0863800784864922,0,0,0,0.142
0.042,0.012,0.129,0.21,0.174,0.147,0.35,0,-0.33582582132518,-0.534793459862864,0,0.288,0,0
0.066,0,0.032,0.034,0.246,0.214,0,0.294,0,0,0,0,0,0
0.214,0,0.002,0.254,0.128,0.297,0.129,0.456,0,0,0,0.196,0,0
0.38,0.244,0.496,0.502,0.452,0.342,0.521,0.25,0,0,0,0.543,0,0
0,0.093,0.013,0,0,0,0,-0.290415061015731,0,-0.231733513259599,0,0,0,0
-0.536657863845207,-0.145121325562211,-0.285697585680263,-0.317475523599766,-0.123908712315295,-0.520780490402388,0,0,0,0,0,0,0,0
-0.177822597373624,-0.0748056077446535,-0.0164340942174675,-0.106137915817068,-0.266378513479961,-0.0372521460873928,-0.00733310456968306,0,0,0,0,0,0,0
