0.082,-0.00843052905091975,-0.215656454663682,-0.167788690802544,-0.133148953395638,-0.154082760750064,-0.223903043973239,-0.183062009462896,-0.0988798133801606,0,0,0,0,0,0,0.37
0.03,0,-0.249106224461994,-0.198636284078753,0,0,0,-0.150509843650758,-0.282828047547508,-0.594059097888352,0,0,0,0,0,0.025
0.292,0.24,0,0,0,0,0,0,0,-0.85312148058066,-0.022125274883765,0,0,0,0,0.16
0.114,0.1,0,0,0,0,0,0,0,-0.0231264286110103,-0.706925835523506,0,0,0,0,0.13
0.012,0,0,0,0,0,0,0,-0.093306064805233,0,0,0,-0.0829717999250035,-0.671903468887129,0,0.012
0.078,0,0,0,0,0,0,0,0,0,0,0,0,-0.00751603875640771,-0.667272092383409,0.075
0.235,0,0,0,0,0,0,0,0,0,0,0,0,-0.342846066797263,-0.487345272647734,0.22
0.007,0.04,0,0,0,0,0,0,0,0,0,0,-0.322204712493056,-0.288822009538448,-0.469521901137235,0.008
0.15,0.06,0,0,0.05,0,0,0,0,0,0,0,0,-0.311468187331835,-0.44444006545527,0
0,0.56,0.95,0.1,0,0,0,0,0,0.02,-0.644717343070588,0,0,0,0,0
0,0,0.03,0.75,0,0,0,0,0,0.68,0,0,0.15,0,0,0
0,0,0.02,0.15,0,0.3,0.15,0,0.2,0.3,0,0,0.4,1,0,0
0,0,0,0,0.2,0,0,0.3,0,0,-0.316973282412851,0,0,0,-0.35518085603187,0
0,0,0,0,0.75,0.02,0.35,0.35,0.25,0,0,0,0,0,0,0
0,0,0,0,0,0.68,0.5,0.35,0.55,0,0,0,0.45,0,0,0
-0.2469623144329,-0.0329957411144203,-0.0200342771754147,-0.208665842503712,-0.0862798467767234,-0.0699226700486961,-0.188762191487116,-0.0330925343038606,0,0,0,0,0,0,0,0
