0,0,0,0,0.09,0.09,0.2,0.5,0.13,0,0,0,0,-0.632857222437761,0
0,0,0,0.26,0,0,0.09,0.36,0.29,0,0,0,0,-0.179271705947311,0
0,0,0,0.17,0,0.13,0,0.6,0.1,0,0,0,0,-0.0402916047550842,0
0,-0.286645407011772,-0.313549857026284,0.08,0,0,0.1,0,0.82,0,0,0,0,0,-0.00398721006213058
-0.139839761395651,0,0,0,0,0.23,0.18,0,0,0.29,0.3,0,0,0,-0.280698583366846
-0.228654332968356,0,-0.173757145508574,0,-0.122030753699183,0,0,0.49,0.51,0,0,0,0,0,-0.240647148324312
-0.0427766017250909,-0.109583631477284,0,-0.0160528948974838,-0.369610964936394,0,0,0.8,0.2,0,0,0,0,0,-0.343291801134684
-0.535317973720917,-0.548129602577988,-0.411621462449797,0,0,-0.471870183575842,-0.661804567772068,0,0,-0.481869428291137,-0.286430365934848,-0.157439156902969,-0.0332317001043587,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.263420306154779,0,0,0.59,0,0,0,0.41,0,0,0
0,0,0,0,-0.387985616916821,0,0,0.31,0,0,0,0.33,-0.148498516898044,0,0
0,0,0,0,0,0,0,0.3,0.7,-0.619889259086572,-0.57862680819355,0,-0.236528760106349,0,0
0,0,0,0,0,0,0,0.11,0.61,0,0.04,0.24,0,0,0
0.73,0.21,0.06,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.08,0.26,0.3,0.36,0,0,0,0,0,0,0,0
