0,0,0,0,0,0,-0.307400035405874,-0.0138023812997774,-0.0240276037817208,-0.183756496729744,0,0,0.34,0.254
0,0,0,0,0,0,-0.496112517656633,-0.0489872092659825,0,0,0,-0.0021609301599592,0.13,0.012
0,0,0,0,0,0,-0.216302181852118,-0.0428404913141574,-0.135359684201757,-0.0744729164270285,0,-0.0255317051520765,0.16,0.058
0,0,0,0,0,0,0,-0.251080734721233,-0.0114819807220757,-0.233102652281838,0,0,0.3,0.23
0,0,0,0,0,0,0,-0.0314893111571888,-0.186214525739677,-0.0858071991048263,0,0,0.15,0.156
0,0,0,0,0,0,0,-0.378942671953275,-0.061012244492516,-0.354050046315194,0,0,0.64,0.148
0.298,0.289,0.328,0,0,0,0,-0.338878054497363,0,-0.0834242986189957,0,0,0,0.142
0.042,0.012,0.129,0.21,0.174,0.147,0.35,0,-0.303729585230621,-0.481238722432269,0,0.288,0,0
0.066,0,0.032,0.034,0.246,0.214,0,0.294,0,0,0,0,0,0
0.214,0,0.002,0.254,0.128,0.297,0.129,0.456,0,0,0,0.196,0,0
0.38,0.244,0.496,0.502,0.452,0.342,0.521,0.25,0,0,0,0.543,0,0
0,0.093,0.013,0,0,0,0,-0.40688227940613,0,-0.197141953324635,0,0,0,0
-0.454621795471998,-0.12763175226303,-0.146054731913212,-0.378626745804542,-0.140067552506099,-0.684355110256419,0,0,0,0,0,0,0,0
-0.347136221189951,-0.143925670069835,-0.032402623821873,-0.103190660736343,-0.169795461359686,-0.0723580335266033,-0.232738038275095,0,0,0,0,0,0,0
