0,0,0,0,0,0,-0.317019824238734,-0.168686076026131,-0.0894219877838758,-0.234061846438609,0,0,0.34,0.254
0,0,0,0,0,0,-0.18534998420293,-0.155142647598376,0,0,0,-0.374482816470813,0.13,0.012
0,0,0,0,0,0,-0.437935173997531,-0.0650939236408409,-0.107924478302026,-0.0628591829676778,0,-0.0850633832702315,0.16,0.058
0,0,0,0,0,0,0,-0.156976732872528,-0.0133674819880618,-0.23784046796281,0,0,0.3,0.23
0,0,0,0,0,0,0,-0.111705004715539,-0.218728690006836,-0.0970485073012516,0,0,0.15,0.156
0,0,0,0,0,0,0,-0.127225124803479,-0.345763966456168,-0.336878967641463,0,0,0.64,0.148
0.298,0.289,0.328,0,0,0,0,-0.367012847528096,0,-0.263672662488693,0,0,0,0.142
0.042,0.012,0.129,0.21,0.174,0.147,0.35,0,-0.190020542186477,-0.316991557341372,0,0.288,0,0
0.066,0,0.032,0.034,0.246,0.214,0,0.294,0,0,0,0,0,0
0.214,0,0.002,0.254,0.128,0.297,0.129,0.456,0,0,0,0.196,0,0
0.38,0.244,0.496,0.502,0.452,0.342,0.521,0.25,0,0,0,0.543,0,0
0,0.093,0.013,0,0,0,0,-0.265615925255686,0,-0.0393462667172285,0,0,0,0
-0.392500663419608,-0.0958598450126179,-0.110930641079337,-0.178187723775298,-0.156097285089414,-0.578954051767792,0,0,0,0,0,0,0,0
-0.282500230107838,-0.0446884853703874,-0.0549024136816118,-0.0354650699257527,-0.147707448539144,-0.376582542931751,-0.0272676561973327,0,0,0,0,0,0,0
