0,0,0,0,0.09,0.09,0.2,0.5,0.13,0,0,0,0,-0.623143261694884,0
0,0,0,0.26,0,0,0.09,0.36,0.29,0,0,0,0,-0.191833544450528,0
0,0,0,0.17,0,0.13,0,0.6,0.1,0,0,0,0,-0.0978373653430727,0
0,-0.515533141603369,-0.275744962334464,0.08,0,0,0.1,0,0.82,0,0,0,0,0,-0.207497437771669
-0.0436322964623092,0,0,0,0,0.23,0.18,0,0,0.29,0.3,0,0,0,-0.194408467602443
-0.293872605433257,0,-0.0167960509190441,0,-0.459178958098009,0,0,0.49,0.51,0,0,0,0,0,-0.44027001700687
-0.20440724571079,-0.151085559425802,0,-0.143512168360235,-0.144334578098499,0,0,0.8,0.2,0,0,0,0,0,-0.318075259859347
-0.613717721303066,-0.290688738188203,-0.598935112774547,0,0,-0.487217813230147,-0.650808588021165,0,0,-0.575287702050486,-0.341901176655719,-0.354783686620498,-0.067920224631934,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.384848275235616,0,0,0.59,0,0,0,0.41,0,0,0
0,0,0,0,-0.236953797195686,0,0,0.31,0,0,0,0.33,-0.0445218563017654,0,0
0,0,0,0,0,0,0,0.3,0.7,-0.190326252045943,-0.47197515541163,0,-0.215841402000909,0,0
0,0,0,0,0,0,0,0.11,0.61,0,0.04,0.24,0,0,0
0.73,0.21,0.06,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.08,0.26,0.3,0.36,0,0,0,0,0,0,0,0
