0.082,-0.0404288341181341,-0.410812761773772,-0.0860088396487403,-0.227368138098477,-0.000673117550022334,-0.0748833646654029,-0.134534580158437,-0.354129647279839,0,0,0,0,0,0,0.37
0.03,0,-0.217801238447823,-0.118429484619433,0,0,0,-0.0405871541489619,-0.069800977506528,-0.651424429213128,0,0,0,0,0,0.025
0.292,0.24,0,0,0,0,0,0,0,-1.0644417801891,-0.0667043998664274,0,0,0,0,0.16
0.114,0.1,0,0,0,0,0,0,0,-0.130159185306079,-0.798171621618036,0,0,0,0,0.13
0.012,0,0,0,0,0,0,0,-0.0287970251214922,0,0,0,-0.0932800098198227,-0.708483915505555,0,0.012
0.078,0,0,0,0,0,0,0,0,0,0,0,0,-0.281982885415121,-0.667730293346665,0.075
0.235,0,0,0,0,0,0,0,0,0,0,0,0,-0.440372244784368,-0.576430518494382,0.22
0.007,0.04,0,0,0,0,0,0,0,0,0,0,-0.32847580676711,-0.286322940176824,-0.255672346167433,0.008
0.15,0.06,0,0,0.05,0,0,0,0,0,0,0,0,-0.259378063911083,-0.600517865710193,0
0,0.56,0.95,0.1,0,0,0,0,0,0.02,-0.692007016039431,0,0,0,0,0
0,0,0.03,0.75,0,0,0,0,0,0.68,0,0,0.15,0,0,0
0,0,0.02,0.15,0,0.3,0.15,0,0.2,0.3,0,0,0.4,1,0,0
0,0,0,0,0.2,0,0,0.3,0,0,-0.116956618209399,0,0,0,-0.3337623381943,0
0,0,0,0,0.75,0.02,0.35,0.35,0.25,0,0,0,0,0,0,0
0,0,0,0,0,0.68,0.5,0.35,0.55,0,0,0,0.45,0,0,0
-0.202950985916889,-0.0138811301120581,-0.0849519011554055,-0.217586210788985,-0.101476554016029,-0.203902844614375,-0.328242453378276,-0.0159860519359412,0,0,0,0,0,0,0,0
